query_id,seed,service_id,destination_id,page_role,region_id,reason
YS000505,эскизный проект участка,S1,S1-CHILD-SKETCH,child_service,10841,reviewed_suggest_root[S1-CHILD-SKETCH]
YS000506,заказать эскизный проект участка,S1,S1-CHILD-SKETCH,child_service,10841,reviewed_suggest_transactional[S1-CHILD-SKETCH]
YS000507,генеральный план участка,S1,S1-CHILD-MASTERPLAN,child_service,10841,reviewed_suggest_root[S1-CHILD-MASTERPLAN]
YS000508,генеральный план участка ландшафтный дизайн цена,S1,S1-CHILD-MASTERPLAN,child_service,10841,reviewed_suggest_transactional[S1-CHILD-MASTERPLAN]
YS000509,дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,10841,reviewed_suggest_root[S1-CHILD-DENDROPLAN]
YS000510,заказать дендроплан участка,S1,S1-CHILD-DENDROPLAN,child_service,10841,reviewed_suggest_transactional[S1-CHILD-DENDROPLAN]
YS000511,3d-визуализация ландшафтного дизайна,S1,S1-CHILD-3D,child_service,10841,reviewed_suggest_root[S1-CHILD-3D]
YS000512,заказать 3d визуализацию ландшафтного дизайна,S1,S1-CHILD-3D,child_service,10841,reviewed_suggest_transactional[S1-CHILD-3D]
YS000513,проект вертикальной планировки участка,S1,S1-CHILD-RELIEF,child_service,10841,reviewed_suggest_root[S1-CHILD-RELIEF]
YS000514,заказать проект вертикальной планировки участка,S1,S1-CHILD-RELIEF,child_service,10841,reviewed_suggest_transactional[S1-CHILD-RELIEF]
YS000515,рулонный газон под ключ,S2,S2-CHILD-ROLL,child_service,10841,reviewed_suggest_root[S2-CHILD-ROLL]
YS000516,укладка рулонного газона под ключ,S2,S2-CHILD-ROLL,child_service,10841,reviewed_suggest_transactional[S2-CHILD-ROLL]
YS000517,посевной газон под ключ,S2,S2-CHILD-SEED,child_service,10841,reviewed_suggest_root[S2-CHILD-SEED]
YS000518,устройство посевного газона под ключ,S2,S2-CHILD-SEED,child_service,10841,reviewed_suggest_transactional[S2-CHILD-SEED]
YS000519,подготовка грунта под газон,S2,S2-CHILD-SOIL,child_service,10841,reviewed_suggest_root[S2-CHILD-SOIL]
YS000520,подготовка грунта под газон цена,S2,S2-CHILD-SOIL,child_service,10841,reviewed_suggest_transactional[S2-CHILD-SOIL]
YS000521,восстановление и ремонт газона,S2,S2-CHILD-RESTORE,child_service,10841,reviewed_suggest_root[S2-CHILD-RESTORE]
YS000522,восстановление газона услуги цена ярославль,S2,S2-CHILD-RESTORE,child_service,10841,reviewed_suggest_transactional[S2-CHILD-RESTORE]
YS000523,посадка плодовых деревьев,S3,S3-CHILD-FRUIT,child_service,10841,reviewed_suggest_root[S3-CHILD-FRUIT]
YS000524,услуги посадки плодовых деревьев,S3,S3-CHILD-FRUIT,child_service,10841,reviewed_suggest_transactional[S3-CHILD-FRUIT]
YS000525,посадка хвойных деревьев,S3,S3-CHILD-CONIFERS,child_service,10841,reviewed_suggest_root[S3-CHILD-CONIFERS]
YS000526,услуги посадки хвойных деревьев,S3,S3-CHILD-CONIFERS,child_service,10841,reviewed_suggest_transactional[S3-CHILD-CONIFERS]
YS000527,посадка кустарников,S3,S3-CHILD-SHRUBS,child_service,10841,reviewed_suggest_root[S3-CHILD-SHRUBS]
YS000528,посадка кустарников под ключ,S3,S3-CHILD-SHRUBS,child_service,10841,reviewed_suggest_transactional[S3-CHILD-SHRUBS]
YS000529,посадка крупномеров,S3,S3-CHILD-LARGE,child_service,10841,reviewed_suggest_root[S3-CHILD-LARGE]
YS000530,посадка крупномеров цена,S3,S3-CHILD-LARGE,child_service,10841,reviewed_suggest_transactional[S3-CHILD-LARGE]
YS000531,посадка живой изгороди,S3,S3-CHILD-HEDGE,child_service,10841,reviewed_suggest_root[S3-CHILD-HEDGE]
YS000532,посадка живой изгороди под ключ ярославль,S3,S3-CHILD-HEDGE,child_service,10841,reviewed_suggest_transactional[S3-CHILD-HEDGE]
YS000533,обрезка деревьев,S4,S4-CHILD-TREE-PRUNING,child_service,10841,reviewed_suggest_root[S4-CHILD-TREE-PRUNING]
YS000534,заказать обрезку деревьев цена,S4,S4-CHILD-TREE-PRUNING,child_service,10841,reviewed_suggest_transactional[S4-CHILD-TREE-PRUNING]
YS000535,обрезка кустарников и живой изгороди,S4,S4-CHILD-SHRUB-PRUNING,child_service,10841,reviewed_suggest_root[S4-CHILD-SHRUB-PRUNING]
YS000536,стрижка кустарников и живой изгороди цена,S4,S4-CHILD-SHRUB-PRUNING,child_service,10841,reviewed_suggest_transactional[S4-CHILD-SHRUB-PRUNING]
YS000537,уход и обслуживание газона,S4,S4-CHILD-LAWN-CARE,child_service,10841,reviewed_suggest_root[S4-CHILD-LAWN-CARE]
YS000538,услуги по уходу за газоном цена,S4,S4-CHILD-LAWN-CARE,child_service,10841,reviewed_suggest_transactional[S4-CHILD-LAWN-CARE]
YS000539,уход за цветниками и клумбами,S4,S4-CHILD-FLOWERBEDS,child_service,10841,reviewed_suggest_root[S4-CHILD-FLOWERBEDS]
YS000540,услуги по уходу за цветниками и клумбами,S4,S4-CHILD-FLOWERBEDS,child_service,10841,reviewed_suggest_transactional[S4-CHILD-FLOWERBEDS]
YS000541,обработка сада от болезней и вредителей,S4,S4-CHILD-PEST,child_service,10841,reviewed_suggest_root[S4-CHILD-PEST]
YS000542,обработка сада от болезней и вредителей цена ярославль,S4,S4-CHILD-PEST,child_service,10841,reviewed_suggest_transactional[S4-CHILD-PEST]
YS000543,выравнивание участка,S5,S5-CHILD-LEVEL,child_service,10841,reviewed_suggest_root[S5-CHILD-LEVEL]
