destination_id,service_id,title,slug,query,parent_hub,parent_hub_url,current_url,target_url,url_action,current_wp_id,current_post_type,target_template,excluded_primary_intents,business_evidence,semantic_evidence,boundary,publication_status
S1-CHILD-SKETCH,S1,Эскизный проект участка,eskiznyj-proekt-uchastka,заказать эскизный проект участка,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/eskiznyj-proekt-uchastka/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Эскиз и зонирование],raw/expanded-serp/yandex-api-Q000155.jsonl|Q000155,"Эскиз, зонирование и концепция; полный комплект проекта остаётся хабу.",ready
S1-CHILD-MASTERPLAN,S1,Генеральный план участка,generalnyj-plan-uchastka,генеральный план участка ландшафтный дизайн цена,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/generalnyj-plan-uchastka/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Генеральный план],raw/expanded-serp/yandex-api-Q000156.jsonl|Q000156|raw/expanded-serp-targeted/yandex-api-Q000247.jsonl|Q000247|raw/reviewed-suggest-v6/yandex-suggest-YS000507.jsonl|YS000507,"Генеральный план как часть ландшафтного проекта: зонирование, дорожки, озеленение и инженерные решения участка. ГПЗУ, кадастровый и строительный генплан исключаются; физическая планировка и выравнивание принадлежат S5.",ready
S1-CHILD-DENDROPLAN,S1,Дендроплан участка,dendroplan-uchastka,заказать дендроплан участка,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/dendroplan-uchastka/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#scope[Дендроплан и озеленение],raw/expanded-serp/yandex-api-Q000157.jsonl|Q000157,Проект размещения и ведомость растений; физическая посадка принадлежит S3.,ready
S1-CHILD-3D,S1,3D-визуализация ландшафтного дизайна,3d-vizualizatsiya-landshaftnogo-dizajna,заказать 3d визуализацию ландшафтного дизайна,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/3d-vizualizatsiya-landshaftnogo-dizajna/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#scope[3D-визуализация],wordstat:Yaroslavl_oblast[ландшафтный дизайн участка 3д]=1,Коммерческая визуализация проекта; программы и ИИ относятся к статье.,ready
S1-CHILD-RELIEF,S1,Проект вертикальной планировки участка,proekt-vertikalnoj-planirovki-uchastka,заказать проект вертикальной планировки участка,S1-HUB,https://exp76.ru/services/landshaftnoe-proektirovanie/,,https://exp76.ru/proekt-vertikalnoj-planirovki-uchastka/,create,,,newservicepost.php,,business_source:service-v2/landshaftnoe-proektirovanie.json#pricing[план организации рельефа],raw/expanded-serp/yandex-api-Q000159.jsonl|Q000159|raw/expanded-serp-targeted/yandex-api-Q000248.jsonl|Q000248,Только проект отметок и уклонов; земляные работы принадлежат S5.,ready
S2-CHILD-ROLL,S2,Рулонный газон под ключ,rulonnyj-gazon-pod-kljuch,укладка рулонного газона под ключ,S2-HUB,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,,https://exp76.ru/rulonnyj-gazon-pod-kljuch/,create,,,newservicepost.php,,business_source:service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services[Рулонный газон],SERP-D405C455A674|SERP-0767F40D1ED4|wordstat:Yaroslavl_oblast=288,Подготовка и укладка рулонов; товарный запрос без работ исключается.,ready
S2-CHILD-SEED,S2,Посевной газон под ключ,posevnoj-gazon-pod-kljuch,устройство посевного газона под ключ,S2-HUB,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,,https://exp76.ru/posevnoj-gazon-pod-kljuch/,create,,,newservicepost.php,,business_source:service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services[Посевной газон],SERP-6070ECC246E8|SERP-1E2A5B0176EC|wordstat:Yaroslavl_oblast=22,Посев и формирование покрытия; рулонный вариант остаётся отдельной услугой.,ready
S2-CHILD-SOIL,S2,Подготовка грунта под газон,podgotovka-grunta-pod-gazon,подготовка грунта под газон цена,S2-HUB,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,,https://exp76.ru/podgotovka-grunta-pod-gazon/,create,,,newservicepost.php,,business_source:service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#scope[Подготовка почвы],wordstat:Yaroslavl_oblast[подготовка грунта под газон]=2,Верхний слой и основание газона; изменение общего рельефа принадлежит S5.,ready
S2-CHILD-RESTORE,S2,Восстановление и ремонт газона,vosstanovlenie-i-remont-gazona,восстановление газона услуги цена ярославль,S2-HUB,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/,,https://exp76.ru/vosstanovlenie-i-remont-gazona/,create,,,newservicepost.php,,business_source:wp-rest/pages/9357#content[пожелтевший-газон+полный-комплекс-работ],raw/expanded-serp/yandex-api-Q000170.jsonl|Q000170|raw/expanded-serp-targeted/yandex-api-Q000252.jsonl|Q000252,"Разовое восстановление повреждённого покрытия; регулярная стрижка, полив и подкормка принадлежат S4-LAWN-CARE.",ready
S3-CHILD-FRUIT,S3,Посадка плодовых деревьев,posadka-plodovyh-derevev,услуги посадки плодовых деревьев,S3-HUB,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,,https://exp76.ru/posadka-plodovyh-derevev/,create,,,newservicepost.php,,business_source:service-v2/posadka-derevev-i-kustarnikov.json#intro[деревья любого размера],SERP-B063D3C3AD98|wordstat:Yaroslavl_oblast=57,Плодовый сад; декоративные деревья и общий подбор остаются соседним страницам.,ready
S3-CHILD-CONIFERS,S3,Посадка хвойных деревьев,posadka-hvojnyh-derevev,услуги посадки хвойных деревьев,S3-HUB,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,,https://exp76.ru/posadka-hvojnyh-derevev/,create,,,newservicepost.php,,business_source:service-v2/posadka-derevev-i-kustarnikov.json#scope[Хвойные посадки],SERP-785822A3ED71|wordstat:Yaroslavl_oblast=44,Хвойные деревья и группы; постоянный уход принадлежит S4.,ready
S3-CHILD-SHRUBS,S3,Посадка кустарников,posadka-kustarnikov,посадка кустарников под ключ,S3-HUB,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,,https://exp76.ru/posadka-kustarnikov/,create,,,newservicepost.php,,business_source:service-v2/posadka-derevev-i-kustarnikov.json#scope[Кустарники и группы],SERP-3DA3A83AC9A8|wordstat:Yaroslavl_oblast=218,Кустарниковые группы; обрезка и обслуживание принадлежат S4.,ready
S3-CHILD-LARGE,S3,Посадка крупномеров,posadka-krupnomerov,посадка крупномеров цена,S3-HUB,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,,https://exp76.ru/posadka-krupnomerov/,create,,,newservicepost.php,,business_source:service-v2/posadka-derevev-i-kustarnikov.json#scope[Деревья и крупные формы],SERP-09010110F02E|wordstat:Yaroslavl_oblast=4,"Крупные формы, доставка и механизация; молодые деревья разведены по видам.",ready
S3-CHILD-HEDGE,S3,Посадка живой изгороди,posadka-zhivoj-izgorodi,посадка живой изгороди под ключ ярославль,S3-HUB,https://exp76.ru/services/posadka-derevev-i-kustarnikov/,,https://exp76.ru/posadka-zhivoj-izgorodi/,create,,,newservicepost.php,,business_source:wp-rest/pages/6871#content[посадка-кустарника-как-живая-изгородь],raw/expanded-serp-alternatives/yandex-api-Q000270.jsonl|Q000270,Создание линейной посадки; последующая стрижка и обслуживание принадлежат S4-SHRUB-PRUNING.,ready
