destination_id,query_id,service_id,query,result_format,decision,merge_target,editorial_action,review_status,reviewer,evidence_refs,rationale
S4-ARTICLE-PRUNING-GUIDE,Q000001,S4,обрезка деревьев схема,how_to_guide,keep_article,,Сузить материал до плодовых деревьев и базовых схем; коммерческую обрезку оставить дочерней услуге,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000001.jsonl|Q000001,"Выдача полностью информационная: инструкции, схемы и методические материалы. Отдельная статья отвечает учебному интенту и не заменяет услугу обрезки."
S2-ARTICLE-15A8258BC551,Q000002,S2,устройство газона схема,how_to_guide,keep_article,,Раскрыть основание и устройство посевного газона; рулонную укладку вынести в отдельный материал,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000002.jsonl|Q000002,"Девять из десяти результатов — инструкции или технологические материалы. Пересечение с запросом про укладку рулонного газона составляет один URL, поэтому интенты разделяются."
S2-ARTICLE-182825428CBD,Q000003,S2,как укладывать рулонный газон,how_to_guide,keep_article,,Сделать пошаговую инструкцию по рулонному газону и вести на услугу укладки,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000003.jsonl|Q000003,"Все десять результатов — самостоятельные руководства по укладке рулонного газона. Запрос имеет устойчивый отдельный информационный формат."
S1-ARTICLE-505521C7EF8C,Q000004,S1,как рассчитать стоимость благоустройства са сотку,cost_guide_and_calculators,keep_article,,Исправить опечатку «са» на «за» в title H1 и slug; связать с существующим калькулятором без обещания фиксированной цены,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000004.jsonl|Q000004,"Выдача состоит из калькуляторов и разборов бюджета; exp76.ru уже находится на четвёртом месте с калькулятором. Отдельный расчётный гайд поддержит существующий инструмент."
S6-ARTICLE-DIY-RETAINING-WALL,Q000005,S6,подпорная стенка на участке своими руками,how_to_guide,keep_article,,Ограничить DIY безопасными невысокими конструкциями; для ответственных стен указывать необходимость расчёта специалистом,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000005.jsonl|Q000005,"Все результаты — инструкции и идеи для самостоятельного устройства. Это отдельный информационный интент относительно коммерческого хаба подпорных стен."
S1-ARTICLE-72FBB49E67C8,Q000006,S1,как рассчитать инженерное благоустройство участка,mixed_academic_and_cost,merge,S1-ARTICLE-505521C7EF8C,Перенести инженерную последовательность и состав расчёта отдельным разделом в статью о стоимости,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000006.jsonl|raw/article-serp/yandex-api-Q000004.jsonl|Q000006|Q000004|exact_url_overlap=3,"Формулировка не формирует устойчивый самостоятельный формат: верх выдачи занят учебными PDF, а коммерческая часть пересекается с расчётом стоимости на три URL. Отдельную страницу создавать не нужно."
S5-ARTICLE-74B3B2B18DA4,Q000007,S5,выравнивание участка своими руками,how_to_guide,keep_article,,Разделить ручное выравнивание и случаи для техники; вести на дочернюю услугу выравнивания,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000007.jsonl|Q000007,"Все десять результатов — пошаговые руководства и разборы способов. Информационный DIY-интент отделён от заказа работ."
S1-ARTICLE-DIY-DESIGN,Q000008,S1,дизайн проект участка своими руками,how_to_design_guide,keep_article,,Сосредоточиться на исходных данных зонировании и эскизе; инженерные разделы связывать с хабом и защищёнными услугами,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000008.jsonl|Q000008,"Выдача состоит из самостоятельных руководств по ландшафтному дизайну. С материалом о схеме планировки участка совпадает только один URL, поэтому страницы можно развести по задачам."
S3-ARTICLE-PLANTING-SCHEMES,Q000009,S3,нормы посадки деревьев,legal_setback_guide,keep_article,,Переформулировать материал вокруг расстояний и размещения; использовать только актуальные официальные нормы и дату проверки,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000009.jsonl|Q000009,"Выдача показывает юридико-практический интент про расстояния до границ и объектов, а не технологию посадки. Статья нужна как нормативный гайд со ссылкой на услугу."
S8-ARTICLE-DIY-ENTRANCE,Q000010,S8,как сделать въезд на участок через канаву,how_to_guide,keep_article,,Дать последовательность с трубой и насыпью без неподтверждённых размеров; сложные условия вести на услугу,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000010.jsonl|Q000010,"Девять результатов из десяти — самостоятельные пошаговые материалы по въезду через канаву. Информационный интент устойчив и отделён от заказа работ."
S7-ARTICLE-DIY-LIGHTING,Q000011,S7,как сделать освещение на участке,planning_and_safety_guide,keep_article,,Сфокусироваться на сценариях и схеме; электромонтажные требования подтверждать актуальными первичными источниками и не заявлять допуски компании,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000011.jsonl|Q000011,"Все результаты — руководства по планированию и устройству освещения. Отдельный информационный материал поддержит коммерческий хаб без создания товарной страницы."
S4-ARTICLE-F668FF6F6190,Q000012,S4,схема ухода за садом,seasonal_calendar,keep_article,,Использовать понятное название «Календарь ухода за садом» и не давать универсальные сроки без оговорки о погоде и культурах,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000012.jsonl|Q000012,"Выдача однозначно трактует запрос как сезонный календарь работ и обработок. Материал отделён от инструкции по обрезке и от коммерческой услуги ухода."
S5-ARTICLE-FF3B04A53D72,Q000013,S5,схема планировки участка,layout_and_zoning_guide,keep_article,,Раскрыть функциональное зонирование и высотную логику; ландшафтный дизайн вести на S1 и не дублировать его DIY-статью,reviewed,codex-2026-08-28,raw/article-serp/yandex-api-Q000013.jsonl|Q000013,"Выдача состоит из планировщиков, схем и руководств по зонированию. С DIY-дизайном совпадает один URL, поэтому страница остаётся отдельной при строгом разграничении задач."
