query_id,query,service_id,intent,region,device,destination_id,reason
Q000155,заказать эскизный проект участка,S1,transactional,Yaroslavl,desktop,S1-CHILD-SKETCH,expanded_representative[S1-CHILD-SKETCH]
Q000156,заказать генеральный план участка,S1,transactional,Yaroslavl,desktop,S1-CHILD-MASTERPLAN,expanded_representative[S1-CHILD-MASTERPLAN]
Q000157,заказать дендроплан участка,S1,transactional,Yaroslavl,desktop,S1-CHILD-DENDROPLAN,expanded_representative[S1-CHILD-DENDROPLAN]
Q000158,заказать 3d визуализацию ландшафтного дизайна,S1,transactional,Yaroslavl,desktop,S1-CHILD-3D,expanded_representative[S1-CHILD-3D]
Q000159,заказать проект вертикальной планировки участка,S1,transactional,Yaroslavl,desktop,S1-CHILD-RELIEF,expanded_representative[S1-CHILD-RELIEF]
Q000160,как рассчитать стоимость благоустройства за сотку,S1,informational,Yaroslavl,desktop,S1-ARTICLE-COST,expanded_representative[S1-ARTICLE-COST]
Q000161,дизайн проект участка своими руками,S1,informational,Yaroslavl,desktop,S1-ARTICLE-DIY,expanded_representative[S1-ARTICLE-DIY]
Q000162,ландшафтный дизайн участка 6 соток,S1,informational,Yaroslavl,desktop,S1-ARTICLE-SIX-SOTOK,expanded_representative[S1-ARTICLE-SIX-SOTOK]
Q000163,ландшафтный дизайн участка 10 соток,S1,informational,Yaroslavl,desktop,S1-ARTICLE-TEN-FIFTEEN,expanded_representative[S1-ARTICLE-TEN-FIFTEEN]
Q000164,ландшафтный дизайн участка с домом и баней,S1,informational,Yaroslavl,desktop,S1-ARTICLE-WITH-HOUSE,expanded_representative[S1-ARTICLE-WITH-HOUSE]
Q000165,программа для ландшафтного дизайна участка,S1,informational,Yaroslavl,desktop,S1-ARTICLE-SOFTWARE,expanded_representative[S1-ARTICLE-SOFTWARE]
Q000166,примеры ландшафтного дизайна участка фото,S1,informational,Yaroslavl,desktop,S1-ARTICLE-IDEAS,expanded_representative[S1-ARTICLE-IDEAS]
