check_id,cluster_id,check,status,evidence,issue,resolution
QA001,,Scope содержит ровно восемь старых услуг,passed,S1-S8 и восемь уникальных текущих URL,,
QA002,,Публичные URL и canonical,passed,8 из 8 возвращают HTTP 200 и self-canonical; шаблон servicepost.php,,
QA003,,Полнота SERP-корпуса,passed,Q000001-Q000141; 1410 строк; ранги 1-10 для каждого запроса,,
QA004,,Точное покрытие кандидатов,passed,4236 уникальных candidate_key и 4236 назначений; дубликатов и пропусков нет; 98.78% строк с показами имеют кластер или явное исключение; 8 service briefs трассируются к source clusters и точным query members,,
QA005,,Запросы с кликами проверены,passed,72 из 72 строк keywords_clean с кликами имеют reviewed решение; 45 eligible candidates reviewed; 7 brand QID закреплены за главной,,
QA006,,Один владелец коммерческого кластера,passed,115 keep_enhance clusters; пустых target_url и multi-owner значений нет,,
QA007,,Интенты разведены,passed,225 informational candidates стали article_candidate без публикации; 125 product-only candidates исключены,,
QA008,,Защищенные направления сохранены,passed,560 source observations и 558 distinct queries закреплены за шестью frozen owners,,
QA009,,Межсервисные границы владельцев сохранены,passed,747 cross-service pair получили owner_boundary_split по утвержденной карте S1-S8; еще 3 cross-service pair имеют общий calculator owner; multi-owner кластеров нет,,
QA010,,Калькулятор и бренд закреплены,passed,23 чистых calculator candidates направлены на существующий калькулятор; 7 clicked brand QID направлены на главную,,
QA011,,Шум внешних сервисов исключен,passed,Avito Leroy Techno variants Mini-pogruzchiki и contaminants калькулятора имеют reviewed exclude,,
QA012,,Нет автоматических изменений архитектуры,passed,0 new_child_candidate; 0 redirect; 0 city_page; 0 index action,,
QA013,,Воспроизводимость кластеризации,passed,Повторная генерация дает одинаковые SHA-256; raw manifest не меняется,,
QA014,,Целостность raw manifest,passed,383 entries; 121 sanitized SERP JSONL и 115 operation records; SHA-256 и byte-size mismatches отсутствуют; полные XML не входят в Git или manifest,,
QA015,,Лимит официального API,passed,115 deferred запросов; расчетная стоимость по тарифу 3.5075 RUB из разрешенных 50 RUB,,
QA016,,XLSX экспорт и визуальная проверка,passed,11 из 11 листов отрендерены; заголовки фильтры заливки типы и ширины проверены,artifact-tool 2.8.6 не экспортирует freezeRows и не предоставляет native hyperlink API,URL сохранены безопасным синим текстом; ограничение задокументировано без alternate writer
QA017,,Живой сайт не изменен,passed,WordPress FTP Webmaster redirects canonical sitemap и indexation не изменялись,,
QA018,,Пограничные SERP-пары учтены,passed,1044 pair: 263 manual_review pending; 747 owner_boundary_split; 5 shared_special_owner; 24 policy_exclusion_split; 5 shared_policy_exclusion; затронутые pending-парами 67 keep_enhance кластеров не имеют high/reviewed статуса,,
