query_id,seed,service_id,destination_id,page_role,region_id,reason
YS001001,"расчистка участка, спил и корчевание",S9,S9-HUB,hub,10841,legacy_suggest_root[S9-HUB]
YS001002,спил деревьев и корчевание пней ярославль,S9,S9-HUB,hub,10841,legacy_suggest_transactional[S9-HUB]
YS001003,спил и удаление деревьев,S9,S9-CHILD-TREE-REMOVAL,child_service,10841,legacy_suggest_root[S9-CHILD-TREE-REMOVAL]
YS001004,спил деревьев ярославль,S9,S9-CHILD-TREE-REMOVAL,child_service,10841,legacy_suggest_transactional[S9-CHILD-TREE-REMOVAL]
YS001005,корчевание пней,S9,S9-CHILD-STUMPS,child_service,10841,legacy_suggest_root[S9-CHILD-STUMPS]
YS001006,корчевание пней ярославль,S9,S9-CHILD-STUMPS,child_service,10841,legacy_suggest_transactional[S9-CHILD-STUMPS]
YS001007,расчистка участка от деревьев и кустарников,S9,S9-CHILD-CLEARING,child_service,10841,legacy_suggest_root[S9-CHILD-CLEARING]
YS001008,расчистка участка от деревьев и кустарников ярославль,S9,S9-CHILD-CLEARING,child_service,10841,legacy_suggest_transactional[S9-CHILD-CLEARING]
YS001009,"пруды, водоёмы и водные объекты",S10,S10-HUB,hub,10841,legacy_suggest_root[S10-HUB]
YS001010,пруд и водные объекты на участке ярославль,S10,S10-HUB,hub,10841,legacy_suggest_transactional[S10-HUB]
YS001011,декоративный пруд на участке,S10,S10-CHILD-DECORATIVE-POND,child_service,10841,legacy_suggest_root[S10-CHILD-DECORATIVE-POND]
YS001012,декоративный пруд под ключ ярославль,S10,S10-CHILD-DECORATIVE-POND,child_service,10841,legacy_suggest_transactional[S10-CHILD-DECORATIVE-POND]
YS001013,плавательный пруд,S10,S10-CHILD-SWIMMING-POND,child_service,10841,legacy_suggest_root[S10-CHILD-SWIMMING-POND]
YS001014,плавательный пруд на участке ярославль,S10,S10-CHILD-SWIMMING-POND,child_service,10841,legacy_suggest_transactional[S10-CHILD-SWIMMING-POND]
YS001015,водопад и каскад на участке,S10,S10-CHILD-WATERFALL-CASCADE,child_service,10841,legacy_suggest_root[S10-CHILD-WATERFALL-CASCADE]
YS001016,искусственный водопад на участке ярославль,S10,S10-CHILD-WATERFALL-CASCADE,child_service,10841,legacy_suggest_transactional[S10-CHILD-WATERFALL-CASCADE]
YS001017,декоративный ручей,S10,S10-CHILD-STREAM,child_service,10841,legacy_suggest_root[S10-CHILD-STREAM]
YS001018,декоративный ручей на участке ярославль,S10,S10-CHILD-STREAM,child_service,10841,legacy_suggest_transactional[S10-CHILD-STREAM]
YS001019,фонтан на участке,S10,S10-CHILD-FOUNTAIN,child_service,10841,legacy_suggest_root[S10-CHILD-FOUNTAIN]
YS001020,фонтан под ключ на участке ярославль,S10,S10-CHILD-FOUNTAIN,child_service,10841,legacy_suggest_transactional[S10-CHILD-FOUNTAIN]
YS001021,системы туманообразования,S11,S11-HUB,hub,10841,legacy_suggest_root[S11-HUB]
YS001022,система туманообразования монтаж ярославль,S11,S11-HUB,hub,10841,legacy_suggest_transactional[S11-HUB]
YS001023,туманообразование для террасы и веранды,S11,S11-CHILD-TERRACE-VERANDA,child_service,10841,legacy_suggest_root[S11-CHILD-TERRACE-VERANDA]
YS001024,система туманообразования для террасы ярославль,S11,S11-CHILD-TERRACE-VERANDA,child_service,10841,legacy_suggest_transactional[S11-CHILD-TERRACE-VERANDA]
YS001025,туманообразование для кафе и открытых площадок,S11,S11-CHILD-CAFE-OUTDOOR,child_service,10841,legacy_suggest_root[S11-CHILD-CAFE-OUTDOOR]
YS001026,система туманообразования для кафе ярославль,S11,S11-CHILD-CAFE-OUTDOOR,child_service,10841,legacy_suggest_transactional[S11-CHILD-CAFE-OUTDOOR]
YS001027,туманообразование для теплиц и оранжерей,S11,S11-CHILD-GREENHOUSE,child_service,10841,legacy_suggest_root[S11-CHILD-GREENHOUSE]
YS001028,система туманообразования для теплицы ярославль,S11,S11-CHILD-GREENHOUSE,child_service,10841,legacy_suggest_transactional[S11-CHILD-GREENHOUSE]
YS001029,фундамент на железобетонных сваях,S12,S12-HUB,hub,10841,legacy_suggest_root[S12-HUB]
YS001030,фундамент на железобетонных сваях ярославль,S12,S12-HUB,hub,10841,legacy_suggest_transactional[S12-HUB]
YS001031,забивка и монтаж железобетонных свай,S12,S12-CHILD-DRIVING,child_service,10841,legacy_suggest_root[S12-CHILD-DRIVING]
YS001032,забивка железобетонных свай ярославль,S12,S12-CHILD-DRIVING,child_service,10841,legacy_suggest_transactional[S12-CHILD-DRIVING]
YS001033,фундамент на жб сваях для частного дома,S12,S12-CHILD-PRIVATE-HOUSE,child_service,10841,legacy_suggest_root[S12-CHILD-PRIVATE-HOUSE]
YS001034,фундамент на железобетонных сваях для частного дома ярославль,S12,S12-CHILD-PRIVATE-HOUSE,child_service,10841,legacy_suggest_transactional[S12-CHILD-PRIVATE-HOUSE]
YS001035,фундамент на жб сваях для бани,S12,S12-CHILD-BATHHOUSE,child_service,10841,legacy_suggest_root[S12-CHILD-BATHHOUSE]
YS001036,фундамент на железобетонных сваях для бани ярославль,S12,S12-CHILD-BATHHOUSE,child_service,10841,legacy_suggest_transactional[S12-CHILD-BATHHOUSE]
YS001037,навесы из металла,S13,S13-HUB,hub,10841,legacy_suggest_root[S13-HUB]
YS001038,изготовление и монтаж навесов из металла ярославль,S13,S13-HUB,hub,10841,legacy_suggest_transactional[S13-HUB]
YS001039,навес для автомобиля,S13,S13-CHILD-CARPORT,child_service,10841,legacy_suggest_root[S13-CHILD-CARPORT]
YS001040,навес для автомобиля ярославль с установкой,S13,S13-CHILD-CARPORT,child_service,10841,legacy_suggest_transactional[S13-CHILD-CARPORT]
YS001041,навес для террасы и веранды,S13,S13-CHILD-TERRACE,child_service,10841,legacy_suggest_root[S13-CHILD-TERRACE]
YS001042,навес для террасы ярославль с установкой,S13,S13-CHILD-TERRACE,child_service,10841,legacy_suggest_transactional[S13-CHILD-TERRACE]
YS001043,навес для зоны барбекю,S13,S13-CHILD-BARBECUE,child_service,10841,legacy_suggest_root[S13-CHILD-BARBECUE]
YS001044,навес для зоны барбекю ярославль,S13,S13-CHILD-BARBECUE,child_service,10841,legacy_suggest_transactional[S13-CHILD-BARBECUE]
YS001045,навес из поликарбоната к дому,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,10841,legacy_suggest_root[S13-CHILD-POLYCARBONATE-HOME]
YS001046,навес из поликарбоната к дому ярославль,S13,S13-CHILD-POLYCARBONATE-HOME,child_service,10841,legacy_suggest_transactional[S13-CHILD-POLYCARBONATE-HOME]
YS001047,"камины, печи и барбекю",S14,S14-HUB,hub,10841,legacy_suggest_root[S14-HUB]
YS001048,строительство каминов печей и барбекю ярославль,S14,S14-HUB,hub,10841,legacy_suggest_transactional[S14-HUB]
YS001049,строительство камина,S14,S14-CHILD-FIREPLACE,child_service,10841,legacy_suggest_root[S14-CHILD-FIREPLACE]
YS001050,строительство камина ярославль,S14,S14-CHILD-FIREPLACE,child_service,10841,legacy_suggest_transactional[S14-CHILD-FIREPLACE]
YS001051,кладка отопительной печи,S14,S14-CHILD-HEATING-STOVE,child_service,10841,legacy_suggest_root[S14-CHILD-HEATING-STOVE]
