destination_id,service_id,target_url,page_type,source_cluster_ids,primary_query,secondary_queries,intent,title_intent,h1_intent,required_sections,price_factors,case_ids,photo_ids,internal_links,frozen_links,evidence_refs,evidence_state,missing_facts,status
FROZEN-268E90FAC815,,https://exp76.ru/category/drenazh-uchastka/,frozen,FROZEN-268E90FAC815,в ярославле есть организация занимающаяся дренажными работами,в ярославле есть организация занимающаяся дренажными работами,frozen_collision,в ярославле есть организация занимающаяся дренажными работами — Эксперты,В ярославле есть организация занимающаяся дренажными работами,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,не применяется к сохраненному владельцу|контекст перехода,,,https://exp76.ru/services/,,protected_owner:https://exp76.ru/category/drenazh-uchastka/,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
FROZEN-5398736839B9,,https://exp76.ru/category/livnevaya-kanalizatsiya/,frozen,FROZEN-5398736839B9,key phrase ремонт ливневой канализации ростов,key phrase ремонт ливневой канализации ростов,frozen_collision,key phrase ремонт ливневой канализации ростов — Эксперты,Key phrase ремонт ливневой канализации ростов,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,не применяется к сохраненному владельцу|контекст перехода,,,https://exp76.ru/services/,,protected_owner:https://exp76.ru/category/livnevaya-kanalizatsiya/,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
FROZEN-6714C54192CE,,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,frozen,FROZEN-6714C54192CE,авито углич укладка брусчатки,авито углич укладка брусчатки,frozen_collision,авито углич укладка брусчатки — Эксперты,Авито углич укладка брусчатки,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,не применяется к сохраненному владельцу|контекст перехода,,,https://exp76.ru/services/,,protected_owner:https://exp76.ru/category/ukladka-trotuarnoy-plitki/,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
FROZEN-7D3282BAA29C,,https://exp76.ru/category/otmostka-vokrug-doma/,frozen,FROZEN-7D3282BAA29C,алиса напиши типовой проект отмостки для кирпичного дома 100м2 и нахождением в г ярославль,алиса напиши типовой проект отмостки для кирпичного дома 100м2 и нахождением в г ярославль,frozen_collision,алиса напиши типовой проект отмостки для кирпичного дома 100м2 и нахождением в г ярославль — Эксперты,Алиса напиши типовой проект отмостки для кирпичного дома 100м2 и нахождением в г ярославль,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,не применяется к сохраненному владельцу|контекст перехода,,,https://exp76.ru/services/,,protected_owner:https://exp76.ru/category/otmostka-vokrug-doma/,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
FROZEN-DED8C0F5020F,,https://exp76.ru/category/osushenie-uchastka/,frozen,FROZEN-DED8C0F5020F,какую иву выбрать для осушения участка,какую иву выбрать для осушения участка,frozen_collision,какую иву выбрать для осушения участка — Эксперты,Какую иву выбрать для осушения участка,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,не применяется к сохраненному владельцу|контекст перехода,,,https://exp76.ru/services/,,protected_owner:https://exp76.ru/category/osushenie-uchastka/,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
FROZEN-F839FE6BFD56,,https://exp76.ru/category/avtopoliv-na-uchastke/,frozen,FROZEN-F839FE6BFD56|SERP-92449D7EF3C6,автоматический полив газона под ключ,газоны в рыбинске|где в мышкине газоны|где у мышкины газоны|планировка участка под газон ярославль|полив газонов ярославль|рыбинск революция 2 газоны|уход за газоном в неклиновском яр обл,frozen_collision|commercial_research,автоматический полив газона под ключ — Эксперты,Автоматический полив газона под ключ,Состав работ|когда подходит|этапы|факторы цены|примеры работ|FAQ|связанные услуги,не применяется к сохраненному владельцу|контекст перехода,,,https://exp76.ru/services/,,protected_owner:https://exp76.ru/category/avtopoliv-na-uchastke/,publication=ready;cases=needs_mapping;photos=needs_mapping,карта реальных кейсов|карта фотографий|подтвержденные цены и сроки,needs_case_mapping
S4-ARTICLE-PRUNING-GUIDE,S4,https://exp76.ru/obrezka-derevev-shema/,article,HOLD-136ED0AAB28A|HOLD-32452491B993,обрезка деревьев схема,как называется обрезка деревьев|как сделать обрезку дерева|обрезка деревьев инструкция|обрезка плодовых деревьев схемы|обрезки дерева как называется|схема обрезки деревьев|схема обрезки плодовых деревьев|как выбрать секатор для обрезки кустарников|как выбрать секатор садовый для обрезки кустарников,informational,обрезка деревьев схема — Эксперты,Обрезка деревьев схема,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь сада|состав работ|состояние растений|сезонность|вывоз растительных остатков,,,https://exp76.ru/services/ukhod-za-sadom/|https://exp76.ru/shema-uhoda-za-sadom/|https://exp76.ru/obrezka-derevev-i-kustarnikov/,,missing_representative_serp:HOLD-136ED0AAB28A,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S2-ARTICLE-15A8258BC551,S2,https://exp76.ru/ustrojstvo-gazona-shema/,article,HOLD-15A8258BC551,устройство газона схема,устройство газона схема,informational,устройство газона схема — Эксперты,Устройство газона схема,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|подготовка грунта|тип газона|доставка|полив|удаленность объекта,,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/|https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/|https://exp76.ru/posevnoj-gazon-pod-kljuch/|https://exp76.ru/rulonnyj-gazon-pod-kljuch/,https://exp76.ru/category/avtopoliv-na-uchastke/,missing_representative_serp:HOLD-15A8258BC551,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S2-ARTICLE-182825428CBD,S2,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,article,HOLD-182825428CBD,как укладывать рулонный газон,как делают газон ярославль|как подготовить участок под рулонный газон|как правильно укладывать рулонный газон|как правильно укладывать рулонный газон своими руками|как срезают рулонный газон|как уложить рулонный газон своими руками|рулонный газон как подготовить|рулонный газон как укладывать самостоятельно|рулонный газон своими руками|рулонный газон своими руками пошаговая инструкция,informational,как укладывать рулонный газон — Эксперты,Как укладывать рулонный газон,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|подготовка грунта|тип газона|доставка|полив|удаленность объекта,,,https://exp76.ru/services/gazon-posevnojj-i-gazon-rulonnyjj/|https://exp76.ru/ustrojstvo-gazona-shema/|https://exp76.ru/posevnoj-gazon-pod-kljuch/|https://exp76.ru/rulonnyj-gazon-pod-kljuch/,https://exp76.ru/category/avtopoliv-na-uchastke/,missing_representative_serp:HOLD-182825428CBD,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
S1-ARTICLE-505521C7EF8C,S1,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/,article,HOLD-505521C7EF8C,как рассчитать стоимость благоустройства са сотку,как рассчитать стоимость благоустройства са сотку,informational,как рассчитать стоимость благоустройства са сотку — Эксперты,Как рассчитать стоимость благоустройства са сотку,Краткий ответ|условия и ограничения|пошаговый разбор|типовые ошибки|когда нужен подрядчик|связанная услуга,площадь|состав проектных разделов|исходные данные|визуализация|авторское сопровождение,,,https://exp76.ru/services/landshaftnoe-proektirovanie/|https://exp76.ru/kak-rasschitat-inzhenernoe-blagoustrojstvo-uchastka/|https://exp76.ru/dizajn-proekt-uchastka-svoimi-rukami/,https://exp76.ru/category/drenazh-uchastka/|https://exp76.ru/category/livnevaya-kanalizatsiya/|https://exp76.ru/category/avtopoliv-na-uchastke/|https://exp76.ru/category/ukladka-trotuarnoy-plitki/,missing_representative_serp:HOLD-505521C7EF8C,publication=backlog;cases=needs_mapping;photos=needs_mapping,успешная representative-query SERP|проверенные иллюстрации|редакторская проверка,needs_case_mapping
