cluster_id,service_id,destination_id,page_role,parent_destination_id,current_url,proposed_url,proposed_slug,url_action,publication_status,business_offer_confirmed,evidence_refs,review_status,reviewer,rationale
FROZEN-268E90FAC815,,FROZEN-268E90FAC815,frozen,,https://exp76.ru/category/drenazh-uchastka/,,category/drenazh-uchastka,frozen,ready,yes,protected_owner:https://exp76.ru/category/drenazh-uchastka/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-5398736839B9,,FROZEN-5398736839B9,frozen,,https://exp76.ru/category/livnevaya-kanalizatsiya/,,category/livnevaya-kanalizatsiya,frozen,ready,yes,protected_owner:https://exp76.ru/category/livnevaya-kanalizatsiya/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-6714C54192CE,,FROZEN-6714C54192CE,frozen,,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,,category/ukladka-trotuarnoy-plitki,frozen,ready,yes,protected_owner:https://exp76.ru/category/ukladka-trotuarnoy-plitki/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-7D3282BAA29C,,FROZEN-7D3282BAA29C,frozen,,https://exp76.ru/category/otmostka-vokrug-doma/,,category/otmostka-vokrug-doma,frozen,ready,yes,protected_owner:https://exp76.ru/category/otmostka-vokrug-doma/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-DED8C0F5020F,,FROZEN-DED8C0F5020F,frozen,,https://exp76.ru/category/osushenie-uchastka/,,category/osushenie-uchastka,frozen,ready,yes,protected_owner:https://exp76.ru/category/osushenie-uchastka/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
FROZEN-F839FE6BFD56,,FROZEN-F839FE6BFD56,frozen,,https://exp76.ru/category/avtopoliv-na-uchastke/,,category/avtopoliv-na-uchastke,frozen,ready,yes,protected_owner:https://exp76.ru/category/avtopoliv-na-uchastke/,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.
HOLD-01309573C515,S2,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-01309573C515,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-02B1313DE677,S8,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-02B1313DE677,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-07E2BACAC1EA,S1,SPECIAL-SERVICES-CATALOG,special,,https://exp76.ru/services/,,services,merge,ready,yes,missing_representative_serp:HOLD-07E2BACAC1EA,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.
HOLD-0D178048D6E9,S4,S4-CHILD-OBREZKA,child_service,S4-HUB,,,obrezka-derevev-i-kustarnikov,merge,blocked_facts,yes,missing_representative_serp:HOLD-0D178048D6E9|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/ukhod-za-sadom.json#seo.description+services.items[Обрезка],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
HOLD-136ED0AAB28A,S4,S4-ARTICLE-PRUNING-GUIDE,article,S4-HUB,,https://exp76.ru/obrezka-derevev-shema/,obrezka-derevev-shema,article,backlog,no,missing_representative_serp:HOLD-136ED0AAB28A,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-15A8258BC551,S2,S2-ARTICLE-15A8258BC551,article,S2-HUB,,https://exp76.ru/ustrojstvo-gazona-shema/,ustrojstvo-gazona-shema,article,backlog,no,missing_representative_serp:HOLD-15A8258BC551,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-182825428CBD,S2,S2-ARTICLE-182825428CBD,article,S2-HUB,,https://exp76.ru/kak-ukladyvat-rulonnyj-gazon/,kak-ukladyvat-rulonnyj-gazon,article,backlog,no,missing_representative_serp:HOLD-182825428CBD,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-1D9AC2530460,S3,S3-ARTICLE-PLANTING-SCHEMES,article,S3-HUB,,,normy-posadki-derevev,merge,backlog,no,missing_representative_serp:HOLD-1D9AC2530460,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-208FF2D300B0,S8,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-208FF2D300B0,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-23F8882D4251,S2,S2-HUB,hub,,,,gazon-posevnojj-i-gazon-rulonnyjj,merge,ready,yes,missing_representative_serp:HOLD-23F8882D4251,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-28627278866D,S4,S4-HUB,hub,,,,ukhod-za-sadom,merge,ready,yes,missing_representative_serp:HOLD-28627278866D,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-2BF5D16865EA,S3,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-2BF5D16865EA,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-2F188270E4C3,S8,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-2F188270E4C3,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-2F1C98E80F71,S8,S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,,,kak-sdelat-vezd-na-uchastok-cherez-kanavu,merge,backlog,no,missing_representative_serp:HOLD-2F1C98E80F71,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-32452491B993,S4,S4-ARTICLE-PRUNING-GUIDE,article,S4-HUB,,,obrezka-derevev-shema,merge,backlog,no,missing_representative_serp:HOLD-32452491B993,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-36F4098CF473,S3,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-36F4098CF473,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-37D2E790086A,S5,S5-HUB,hub,,,,planirovka-territorii,merge,ready,yes,missing_representative_serp:HOLD-37D2E790086A,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-38F85CB02478,S2,S2-CHILD-RULONNY-GAZON,child_service,S2-HUB,,,rulonnyj-gazon-pod-kljuch,merge,blocked_facts,yes,missing_representative_serp:HOLD-38F85CB02478|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/gazon-posevnojj-i-gazon-rulonnyjj.json#services.items[Рулонный газон],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
HOLD-40520549FE6A,S1,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-40520549FE6A,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-448EB54B315D,S1,SPECIAL-SERVICES-CATALOG,special,,https://exp76.ru/services/,,services,merge,ready,yes,missing_representative_serp:HOLD-448EB54B315D,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.
HOLD-4E5B4B602503,S5,S5-CHILD-VYRAVNIVANIE,child_service,S5-HUB,,,vyravnivanie-uchastka,merge,blocked_facts,yes,missing_representative_serp:HOLD-4E5B4B602503|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/planirovka-territorii.json#intro+services.items[Выравнивание],reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping."
HOLD-505521C7EF8C,S1,S1-ARTICLE-505521C7EF8C,article,S1-HUB,,https://exp76.ru/kak-rasschitat-stoimost-blagoustrojstva-sa-sotku/,kak-rasschitat-stoimost-blagoustrojstva-sa-sotku,article,backlog,no,missing_representative_serp:HOLD-505521C7EF8C,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-544177B45D38,S6,S6-ARTICLE-DIY-RETAINING-WALL,article,S6-HUB,,,podpornaya-stenka-na-uchastke-svoimi-rukami,merge,backlog,no,missing_representative_serp:HOLD-544177B45D38,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-5740939AB97F,S7,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-5740939AB97F,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.
HOLD-5A855707AEC1,S7,S7-ARTICLE-DIY-LIGHTING,article,S7-HUB,,,kak-sdelat-osveschenie-na-uchastke,merge,backlog,no,missing_representative_serp:HOLD-5A855707AEC1,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-5B52CBB329C4,S8,S8-ARTICLE-DIY-ENTRANCE,article,S8-HUB,,,kak-sdelat-vezd-na-uchastok-cherez-kanavu,merge,backlog,no,missing_representative_serp:HOLD-5B52CBB329C4,reviewed,codex-2026-08-28,"Informational intent stays separate from commercial pages, but no successful stored representative-query SERP exists; article is backlog pending evidence and media mapping."
HOLD-6179B3D98517,S6,S6-HUB,hub,,,,podpornye-stenki,merge,ready,yes,missing_representative_serp:HOLD-6179B3D98517,reviewed,codex-2026-08-28,Commercial intent remains with the immutable existing service hub; narrower destination is not approved without separate offer and content evidence.
HOLD-630573F85F65,S7,,none,,,,,exclude,backlog,no,missing_representative_serp:HOLD-630573F85F65|query_form:product_lighting_fixtures,reviewed,codex-2026-08-28,The head query explicitly targets lighting fixtures and has no successful representative SERP; product demand is excluded.
