map_id,cluster_id,service_id,cluster_name,intent,current_url,target_url,url_action,method,evidence,validation_status,confidence,review_status,reviewer,rationale,destination_id,page_role,parent_destination_id,publication_status
M0001,FROZEN-268E90FAC815,,frozen owner — drenazh-uchastka,frozen_collision,https://exp76.ru/category/drenazh-uchastka/,https://exp76.ru/category/drenazh-uchastka/,frozen,manual_architecture_review,protected_owner:https://exp76.ru/category/drenazh-uchastka/,architecture_reviewed,high,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.,FROZEN-268E90FAC815,frozen,,ready
M0002,FROZEN-5398736839B9,,frozen owner — livnevaya-kanalizatsiya,frozen_collision,https://exp76.ru/category/livnevaya-kanalizatsiya/,https://exp76.ru/category/livnevaya-kanalizatsiya/,frozen,manual_architecture_review,protected_owner:https://exp76.ru/category/livnevaya-kanalizatsiya/,architecture_reviewed,high,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.,FROZEN-5398736839B9,frozen,,ready
M0003,FROZEN-6714C54192CE,,frozen owner — ukladka-trotuarnoy-plitki,frozen_collision,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,frozen,manual_architecture_review,protected_owner:https://exp76.ru/category/ukladka-trotuarnoy-plitki/,architecture_reviewed,high,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.,FROZEN-6714C54192CE,frozen,,ready
M0004,FROZEN-7D3282BAA29C,,frozen owner — otmostka-vokrug-doma,frozen_collision,https://exp76.ru/category/otmostka-vokrug-doma/,https://exp76.ru/category/otmostka-vokrug-doma/,frozen,manual_architecture_review,protected_owner:https://exp76.ru/category/otmostka-vokrug-doma/,architecture_reviewed,high,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.,FROZEN-7D3282BAA29C,frozen,,ready
M0005,FROZEN-DED8C0F5020F,,frozen owner — osushenie-uchastka,frozen_collision,https://exp76.ru/category/osushenie-uchastka/,https://exp76.ru/category/osushenie-uchastka/,frozen,manual_architecture_review,protected_owner:https://exp76.ru/category/osushenie-uchastka/,architecture_reviewed,high,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.,FROZEN-DED8C0F5020F,frozen,,ready
M0006,FROZEN-F839FE6BFD56,,frozen owner — avtopoliv-na-uchastke,frozen_collision,https://exp76.ru/category/avtopoliv-na-uchastke/,https://exp76.ru/category/avtopoliv-na-uchastke/,frozen,manual_architecture_review,protected_owner:https://exp76.ru/category/avtopoliv-na-uchastke/,architecture_reviewed,high,reviewed,codex-2026-08-28,Protected category 87-92 owner retained exactly; no new destination is allowed.,FROZEN-F839FE6BFD56,frozen,,ready
M0007,HOLD-01309573C515,S2,газон посевной купить — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-01309573C515,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0008,HOLD-02B1313DE677,S8,купить трубу в канаву для заезда — product_only,product_only,,,exclude,manual_architecture_review,missing_representative_serp:HOLD-02B1313DE677,architecture_reviewed,high,reviewed,codex-2026-08-28,Product-only demand has no installation-service destination and remains excluded.,,none,,backlog
M0009,HOLD-07E2BACAC1EA,S1,благоустройство территории рыбинск — commercial_research,commercial_research,https://exp76.ru/services/,https://exp76.ru/services/,merge,manual_architecture_review,missing_representative_serp:HOLD-07E2BACAC1EA,architecture_reviewed,medium,reviewed,codex-2026-08-28,Broad landscaping/complex-improvement demand retains the legacy /services/ owner; it must not broaden the S1 landscape-design hub.,SPECIAL-SERVICES-CATALOG,special,,ready
M0010,HOLD-0D178048D6E9,S4,цена обрезки дерева — transactional,transactional,,https://exp76.ru/obrezka-derevev-i-kustarnikov/,merge,manual_architecture_review,missing_representative_serp:HOLD-0D178048D6E9|business_source:ftp_dump_minimal/wp-content/themes/land76wp/content/service-v2/ukhod-za-sadom.json#seo.description+services.items[Обрезка],architecture_reviewed,medium,reviewed,codex-2026-08-28,"Stored representative SERP supports a distinct service-page candidate. The exact offer is traceable to the current hub payload, while Task 3 case/photo mapping remains incomplete; publication is blocked on proof mapping.",S4-CHILD-OBREZKA,child_service,S4-HUB,blocked_facts
